id,street,city,state,zip
kalifornia-jean-bar-truckee,10092 Donner Pass Rd,Truckee,CA,
kiya-s-naturals-nevada-city,241 Commercial St,Nevada City,CA,
lateda-grass-valley,138 Mill St,Grass Valley,CA,
main-street-kids-nevada-city,212 Main Street,Nevada City,CA,
mama-madrones-nevada-city,307 Broad St,Nevada City,CA,
marilyn-s-catwalk-truckee,10058 Donner Pass Rd,Truckee,CA,
marley-lane-grass-valley,105 W Main St,Grass Valley,CA,
mint-grass-valley,144 Mill St,Grass Valley,CA,
mo-jo-and-zoe-truckee,10122 Donner Pass Rd,Truckee,CA,
moms-and-minis-grass-valley,201 W Main St,Grass Valley,CA,
native-wren-grass-valley,125 Mill St,Grass Valley,CA,
nomad-boutique-truckee,10046 Donner Pass Rd,Truckee,CA,
novak-s-menswear-nevada-city,305 Broad St,Nevada City,CA,
of-earth-and-salt-nevada-city,576 Searls Ave,Nevada City,CA,
soulcrafts-nevada-city,236 Commercial St,Nevada City,CA,
tahoe-mountain-life-truckee,"10120 Jibboom St, #102",Truckee,CA,
tahoe-truckee-t-shirtery-truckee,10128 Donner Pass Rd,Truckee,CA,
the-hat-store-nevada-city,314 Broad St,Nevada City,CA,
the-phoenix-rose-nevada-city,313 Broad St,Nevada City,CA,
the-sock-parlour-truckee,"10064 Donner Pass Rd, Ste 1",Truckee,CA,
tribal-weaver-grass-valley,105 Mill St,Grass Valley,CA,
two-little-birds-nevada-city,234 Commercial St,Nevada City,CA,
whim-be-beautiful-penn-valley,17562 Penn Valley Dr,Penn Valley,CA,
wild-side-grass-valley,160 Mill St,Grass Valley,CA,
caf-lupine-truckee,"11177 Brockway Rd, Ste F101",Truckee,CA,
cake-bakery-and-cafe-grass-valley,131 Mill St,Grass Valley,CA,
caroline-s-coffee-roasters-grass-valley,128 S Auburn St,Grass Valley,CA,
coffeebar-bakery-truckee,10120 Jibboom St,Truckee,CA,
communal-cafe-nevada-city,233 Broad St,Nevada City,CA,
cornerstone-bakery-and-kitchen-truckee,10087 W River St,Truckee,CA,
corvus-bakery-grass-valley,154 Mill St,Grass Valley,CA,
dark-horse-coffee-roasters-truckee-truckee,10009 W River St,Truckee,CA,
deer-creek-bakehouse-nevada-city,405 Commercial St,Nevada City,CA,
drink-coffee-do-stuff-truckee,10115 Donner Pass Rd,Truckee,CA,
flour-garden-bakery-grass-valley,999 Sutton Way & 109 Neal St,Grass Valley,CA,
java-dream-coffee-roasters-penn-valley,11434 Pleasant Valley Rd,Penn Valley,CA,
java-johns-nevada-city,306 Broad St,Nevada City,CA,
mountain-brew-truckee,12373 Donner Pass Rd,Truckee,CA,
outer-heaven-espresso-nevada-city,121 Argall Way,Nevada City,CA,
pacific-crest-coffee-co-truckee,10736 Pioneer Trail,Truckee,CA,
panader-a-matilija-nevada-city,110 York St,Nevada City,CA,
soulspace-collective-grass-valley,206 W Main St,Grass Valley,CA,
truckee-cookies-truckee,"11357 Deerfield Dr, Unit C,",Truckee,CA,
whole-treats-bakery-and-coffee-house-truckee,"10015 Palisades Dr, # A3",Truckee,CA,
wild-cherries-coffee-house-and-bakery-truckee,11429 Donner Pass Rd,Truckee,CA,
wyld-tiger-grass-valley,217 W Main St,Grass Valley,CA,
zuri-coffee-co-truckee,11357 Donner Pass Rd,Truckee,CA,
behind-the-iron-gate-grass-valley,122 Mill St,Grass Valley,CA,
elevation-escape-truckee,12047 Donner Pass Rd,Truckee,CA,
liberty-bell-smart-home-truckee,10072 Donner Pass Rd,Truckee,CA,
mystic-theater-nevada-city,240 Commercial St,Nevada City,CA,
prime-cinemas-grass-valley-grass-valley,165 Mill St & 399 Sutton Way,Grass Valley,CA,
107-argall-way-nevada-city,107 Argall St,Nevada City,CA,
asylum-down-nevada-city,300 Broad St,Nevada City,CA,
atra-nova-nevada-city,219 Broad St,Nevada City,CA,
bespoke-and-atelier-truckee,10098 Donner Pass Rd,Truckee,CA,
bluestone-jewelry-and-wine-truckee,10046 Donner Pass Rd,Truckee,CA,
crush-nevada-city,211 Broad St,Nevada City,CA,
crystal-empire-gems-grass-valley,139 Mill St,Grass Valley,CA,
crystal-rainbow-rock-shop-nevada-city,310 Commercial St,Nevada City,CA,
cultural-threads-truckee,10382 Donner Pass Rd,Truckee,CA,
earthdrop-nevada-city,246 Commercial St,Nevada City,CA,
foothill-mercantile-grass-valley,121 Mill St,Grass Valley,CA,
gather-and-mill-grass-valley,212 W Main St,Grass Valley,CA,
gold-mountain-nevada-city,312 Broad St,Nevada City,CA,
good-anya-plant-shop-truckee,"11429 Donner Pass Rd, #2",Truckee,CA,
goodtimes-boardstore-grass-valley,146 Mill St,Grass Valley,CA,
grass-valley-games-grass-valley,140 Mill St,Grass Valley,CA,
heart-and-home-grass-valley,129 Mill St,Grass Valley,CA,
inner-path-nevada-city,200 Commercial Street,Nevada City,CA,
j-j-jackson-s-nevada-city,244 Commercial St,Nevada City,CA,
kitkitdizzi-nevada-city,231 Broad St,Nevada City,CA,
la-cache-nevada-city,218 Broad St,Nevada City,CA,
lola-and-jack-grass-valley,145 Mill St,Grass Valley,CA,
make-local-habit-grass-valley,112 W Main St,Grass Valley,CA,
mountain-pastimes-nevada-city,320 Spring St,Nevada City,CA,
nevada-city-crystal-and-glass-shop-nevada-city,320 Broad St,Nevada City,CA,
nightingale-farms-grass-valley,156 Mill St,Grass Valley,CA,
shiva-moon-nevada-city,206 Main St,Nevada City,CA,
stucki-jewelers-inc-grass-valley,148 Mill St,Grass Valley,CA,
sugar-and-spice-grass-valley,116 Mill St,Grass Valley,CA,
tess-kitchen-and-culinary-grass-valley,115 Mill St,Grass Valley,CA,
the-cooking-gallery-truckee,10084 Donner Pass Rd,Truckee,CA,
the-earth-store-nevada-city,310 Broad St,Nevada City,CA,
